CFT,MAGic Term,Default,,,,,,,,,,,,,,,,
,WindowClasses.TEdit,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TRichEdit,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TRichEditViewer,Edit;license and readme for InnoSetup installations,,,,,,,,,,,,,,,,
,WindowClasses.TMemo,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TInplaceEditList,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TLabeledEdit,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TMaskEdit,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TDateTimePicker,Edit,,,,,,,,,,,,,,,,
,WindowClasses.TRichEdit,MultilineEdit,,,,,,,,,,,,,,,,
,WindowClasses.TCaptionMemo,MultilineEdit,,,,,,,,,,,,,,,,
,WindowClasses.TAddictRichEdit,MultilineEdit,,,,,,,,,,,,,,,,
,WindowClasses.TORComboEdit,EditCombo,,,,,,,,,,,,,,,,
,WindowClasses.TListbox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TValueListEditor,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TORCalendar,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TColorListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TCheckListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TCombobox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TComboBoxEx,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TORComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TColorBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TcxGridSite,ListView,,,,,,,,,,,,,,,,
,WindowClasses.TListView,ListView,,,,,,,,,,,,,,,,
,WindowClasses.TSystemTreeView,TreeView,,,,,,,,,,,,,,,,
,WindowClasses.TSystemListView,ListView,,,,,,,,,,,,,,,,
,WindowClasses.TNFComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TTreeView,TreeView,,,,,,,,,,,,,,,,
,WindowClasses.TToolBar,ToolBar,,,,,,,,,,,,,,,,
,WindowClasses.TStatusBar,StatusBar,,,,,,,,,,,,,,,,
,WindowClasses.TTrackBar,Slider,,,,,,,,,,,,,,,,
,WindowClasses.TCaptionEdit,SpinBox,,,,,,,,,,,,,,,,
,WindowClasses.TTabControl,TabControl,,,,,,,,,,,,,,,,
,WindowClasses.TPageControl,TabControl,,,,,,,,,,,,,,,,
,WindowClasses.TAdvOfficePager,TabControl,,,,,,,,,,,,,,,,
,WindowClasses.TWizardForm,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.TfrmSplash,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.TSpellDialogV4,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.RichTextWndClass,Edit,,,,,,,,,,,,,,,,
,WindowClasses.Internet Explorer_TridentLstBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.Internet Explorer_TridentCmbobx,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.TextWndClass,Edit,,,,,,,,,,,,,,,,
,WindowClasses.PasswordWndClass,PasswordEdit,,,,,,,,,,,,,,,,
,WindowClasses.ComboWndClass,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.ButtonWndClass,Button,,,,,,,,,,,,,,,,
,WindowClasses.RadioWndClass,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.CheckBoxWndClass,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.ListBoxWndClass,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ListWndClass,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.TextAreaWndClass,Edit,,,,,,,,,,,,,,,,
,WindowClasses.hh_kwd_vlist,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.Internet Explorer_TridentDlgFrame,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.ATL:SysListView32,*ListView,,,,,,,,,,,,,,,,
,WindowClasses.afx:0:376:baa946,Button,,,,,,,,,,,,,,,,
,WindowClasses.afx:8:376:0:946,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.afx:0:376:ed6:86e,Button,,,,,,,,,,,,,,,,
,WindowClasses.MSWorksDoc,Edit,,,,,,,,,,,,,,,,
,WindowClasses.GLBSWizard,Dialog,,,,,,,,,,,,,,,,
,WindowClasses._AOL_Modal,Dialog,,,,,,,,,,,,,,,,
,WindowClasses._AOL_Button,Button,,,,,,,,,,,,,,,,
